,IF,IC,IH,IM,mean
20241009,0.03250145457227141,0.0133103548892674,0.0330114080384448,0.028399639201378273,0.026805714175340473
20241010,-0.016476050272205597,0.0,-0.008912578070934223,-0.04477275915806514,-0.01754034687530124
20241011,0.003374190964777971,0.0023911286556088382,0.005794737616442306,0.0023450794555821223,0.0034762841731028095
20241014,-0.0012556495967742394,0.009864396244774398,-0.008003183019418793,0.021246368967023366,0.005462983148901182
20241015,0.01463764887956606,0.008530090264907848,0.01458812056158078,0.00622544127455946,0.010995325245153537
20241016,-0.009202066887382867,-0.010334500090569897,-0.007833166454511487,-0.007159438456563979,-0.008632292972257058
20241017,0.010832911297071106,0.00980409838886858,0.012454287500000001,0.009801645601125484,0.010723235696766292
20241018,0.03223672204724409,0.026804392068401014,0.025752493378995503,0.033244487682597,0.029509523794309406
20241021,-0.010437848938199731,-0.011045468532442343,0.0,-0.009336872987782113,-0.007705047614606047
20241022,-0.0016057125534590737,0.0003019391092553932,0.0,-0.002160909568480238,-0.0008661707531709797
20241023,-0.0034493251251251026,-0.010430905570839002,-0.002541355449541351,-0.010771241525852534,-0.006798206917839498
20241024,4.79868942390991e-06,0.0,-0.00034327199762194634,0.0,-8.46183270495091e-05
20241025,-0.002566103326612903,0.0003336419893697484,-0.003967478431372516,0.006927058413340009,0.00018177966118108446
20241028,0.0,-0.0008989315933128624,0.0005473701231270987,0.002442000099522293,0.0005226096573341323
20241029,0.005506598556357579,0.00407355921730175,0.0052973510946197,0.00749202941765056,0.005592384571482398
20241030,0.005771944475631585,-0.005928284696031279,0.005666269673055174,-0.008450972895429721,-0.0007352608606935604
20241031,-0.0042413499104630575,-0.003176777063127384,-0.0031367694685261282,0.0004160355775577858,-0.0025347152161396963
20241101,-0.007013594802156467,-0.0115907259762309,-0.006236191751193283,-0.001780733775510173,-0.0066553115762727055
20241104,0.00702546942409447,0.00522079244962452,0.005937855187373774,0.009758024125815687,0.006985535296727113
20241105,0.006336831914893662,0.006429122798903139,0.003316495760233851,0.014112564962415699,0.0075487538591115875
20241106,-0.00039249116467853564,-0.006285002673796821,0.0018607613669697192,-0.008119521164361501,-0.0032340634089667846
20241107,0.025647240560949344,0.012975893701044416,0.025047707716855338,0.012602306324298651,0.01906828707578694
20241108,0.012014627186238665,0.011514774425977491,0.007945051369862885,0.007388074556765192,0.009715631884711058
20241111,-0.008098463907486923,-0.0016459632,-0.016396332026786777,0.0029215659834925063,-0.005804798287695298
20241112,0.010471374642563017,0.008419803174603203,0.010951266987109394,0.008402022001485248,0.009561116701440216
20241113,0.00014859537825351055,-0.019340477932904335,-0.0047038259097526135,-0.012773853284787024,-0.009167390437297616
20241114,0.012270396852548663,0.006805942661377598,-0.010098091924865884,0.008628576734875359,0.004401706080983934
20241115,0.009866067390546442,0.015600165446071903,-0.0036311407027414333,0.019395321176092547,0.010307603327492365
20241118,0.0013680311079688691,0.0038549930878730124,-0.01885408888312353,0.0032349592902578446,-0.0025990263492559514
20241119,-0.009875612829938183,-0.009308181251791146,-0.0037992765350547963,-0.0031564644615797357,-0.006534883769590966
20241120,-0.004594349353181845,0.0022479120871705723,0.0008503714050945286,0.009376979327659882,0.0019702283666857847
20241121,-0.012959937454217531,-0.02760790222116815,-0.015599032674880817,-0.0166441486977168,-0.018202755261995822
20241122,0.023909673017637887,0.02933243835430129,0.019903269421860884,0.03388225021914873,0.026756907753237198
20241125,0.0034836150731859,-0.0037158091743119586,0.007708496967370372,-0.029721177583024647,-0.005561218679195084
20241126,0.0,0.002037087028668299,-0.0055601566975569,0.004297534242424273,0.00019361614338391788
20241127,0.012148841463414634,0.019616171093114677,0.006850393103448275,0.03161428874576275,0.017557423601435085
20241128,-0.0005109827960322851,0.001976643813641975,-0.001962487159831353,0.0014428679900744417,0.00023651046196319464
20241129,0.0012855954929576999,0.011278295758502229,-0.012059661476370692,0.014121713673805601,0.003656485862223709
